,date,H_team,A_team,arena,H_score,A_score,winner,loser,g_type,conf,free,H_foulO,A_foul,H_of,H_df,A_of,H_oR,H_dR,A_oR,A_dR,H_Tf,A_Tu
6781,2012-01-04 00:00:00,Evansville,Wichita State Shockers,Ford Center,66,67,Wichita State Shockers,Evansville,REG,Ford Center,,,,,,,,,,,,
9200,2011-11-16 00:00:00,Arkansas Razorbacks,Oakland,Bud Walton Arena,91,68,Arkansas Razorbacks,Oakland,REG,Bud Walton Arena,,,,,,,,,,,,
10212,2011-11-20 00:00:00,UNC Tar Heels,Mississippi Valley State,Dean Smith Center,101,75,UNC Tar Heels,Mississippi Valley State,REG,Dean Smith Center,,,,,,,,,,,,
10308,2011-11-22 00:00:00,UNC Tar Heels,Tennessee State,Dean Smith Center,102,69,UNC Tar Heels,Tennessee State,REG,Dean Smith Center,,,,,,,,,,,,
8787,2011-12-17 00:00:00,Michigan Wolverines,Alabama A&M,Crisler Arena,87,57,Michigan Wolverines,Alabama A&M,REG,Crisler Arena,,,,,,,,,,,,
8129,2012-02-18 00:00:00,Kent State,College of Charleston Cougars,Memorial Athletic & Convocation Center,73,80,College of Charleston Cougars,Kent State,REG,Memorial Athletic & Convocation Center,,,,,,,,,,,,
6104,2011-12-01 00:00:00,Northern Colorado Bears,Westminster (UT),Butler Hancock Sports Pavilion,60,73,Westminster (UT),Northern Colorado Bears,REG,Butler Hancock Sports Pavilion,,,,,,,,,,,,
7286,2012-03-09 00:00:00,Mississippi,Tennessee Volunteers,,77,72,Mississippi,Tennessee Volunteers,CTOURN,,,,,,,,,,,,,
9771,2011-12-06 00:00:00,UNC Tar Heels,Evansville,Dean Smith Center,97,48,UNC Tar Heels,Evansville,REG,Dean Smith Center,,,,,,,,,,,,
8505,2012-01-04 00:00:00,Duquesne,St. Joseph's Hawks,A.J. Palumbo Center,82,84,St. Joseph's Hawks,Duquesne,REG,A.J. Palumbo Center,,,,,,,,,,,,
9816,2011-12-17 00:00:00,UNC Tar Heels,Appalachian State,Dean Smith Center,97,82,UNC Tar Heels,Appalachian State,REG,Dean Smith Center,,,,,,,,,,,,
9985,2011-12-19 00:00:00,UNC Tar Heels,Nicholls State,Dean Smith Center,99,49,UNC Tar Heels,Nicholls State,REG,Dean Smith Center,,,,,,,,,,,,
8301,2011-11-16 00:00:00,Oregon State Beavers,Hofstra,Gill Coliseum,82,72,Oregon State Beavers,Hofstra,REG,Gill Coliseum,,,,,,,,,,,,
10108,2012-01-08 00:00:00,Marist,Iona Gaels,McCann Recreation Center,76,100,Iona Gaels,Marist,REG,McCann Recreation Center,,,,,,,,,,,,
10283,2012-01-01 00:00:00,UNC Tar Heels,Monmouth,Dean Smith Center,102,65,UNC Tar Heels,Monmouth,REG,Dean Smith Center,,,,,,,,,,,,
8384,2012-02-18 00:00:00,Kansas Jayhawks,Texas Tech,Allen Fieldhouse,83,50,Kansas Jayhawks,Texas Tech,REG,Allen Fieldhouse,,,,,,,,,,,,
7383,2012-02-11 00:00:00,Texas-Arlington Mavericks,Texas State,College Park Center,73,53,Texas-Arlington Mavericks,Texas State,REG,College Park Center,,,,,,,,,,,,
5827,2012-01-21 00:00:00,Prairie View Panthers,Mississippi Valley State,William J. Nicks Building,57,81,Mississippi Valley State,Prairie View Panthers,REG,William J. Nicks Building,,,,,,,,,,,,
8303,2012-03-04 00:00:00,North Carolina-Greensboro,Western Carolina Catamounts,Asheville Civic Center,77,82,Western Carolina Catamounts,North Carolina-Greensboro,CTOURN,Asheville Civic Center,,,,,,,,,,,,
7498,2011-11-20 00:00:00,Temple,Wichita State Shockers,,78,74,Temple,Wichita State Shockers,REG,,,,,,,,,,,,,
9427,2012-01-29 00:00:00,UNC Tar Heels,Georgia Tech,Dean Smith Center,93,81,UNC Tar Heels,Georgia Tech,REG,Dean Smith Center,,,,,,,,,,,,
6906,2012-01-07 00:00:00,Northwestern State,Texas State Bobcats,Prather Coliseum,83,68,Northwestern State,Texas State Bobcats,REG,Prather Coliseum,,,,,,,,,,,,
8392,2011-11-11 00:00:00,Robert Morris Colonials,Rider,Charles L. Sewall Center,83,57,Robert Morris Colonials,Rider,REG,Charles L. Sewall Center,,,,,,,,,,,,
8510,2011-11-19 00:00:00,Virginia Military Institute Keydets,Maryland-Baltimore County,Cameron Hall,84,79,Virginia Military Institute Keydets,Maryland-Baltimore County,REG,Cameron Hall,,,,,,,,,,,,
7080,2012-02-12 00:00:00,Wright State Raiders,Milwaukee,Ervin J. Nutter Center,70,46,Wright State Raiders,Milwaukee,REG,Ervin J. Nutter Center,,,,,,,,,,,,
7396,2012-02-04 00:00:00,Prairie View Panthers,Texas Southern,William J. Nicks Building,73,67,Prairie View Panthers,Texas Southern,REG,William J. Nicks Building,,,,,,,,,,,,
7487,2011-11-11 00:00:00,Xavier Musketeers,Morgan State,Cintas Center,74,63,Xavier Musketeers,Morgan State,REG,Cintas Center,,,,,,,,,,,,
8705,2011-12-29 00:00:00,Tennessee Volunteers,Citadel,Thompson-Boling Arena,86,55,Tennessee Volunteers,Citadel,REG,Thompson-Boling Arena,,,,,,,,,,,,
5497,2012-02-15 00:00:00,UCLA,USC Trojans,L. A. Sports Arena,64,54,UCLA,USC Trojans,REG,L. A. Sports Arena,,,,,,,,,,,,
8910,2012-01-17 00:00:00,North Carolina-Asheville Bulldogs,Coastal Carolina,Kimmel Arena,88,81,North Carolina-Asheville Bulldogs,Coastal Carolina,REG,Kimmel Arena,,,,,,,,,,,,
8895,2012-01-02 00:00:00,Manhattan,Rider Broncs,Draddy Gymnasium,77,88,Rider Broncs,Manhattan,REG,Draddy Gymnasium,,,,,,,,,,,,
8591,2011-11-21 00:00:00,Minnesota Golden Gophers,Mount St. Mary's,Williams Arena,85,56,Minnesota Golden Gophers,Mount St. Mary's,REG,Williams Arena,,,,,,,,,,,,
6977,2011-11-17 00:00:00,Mississippi State Bulldogs,Texas A&M (19),,69,60,Mississippi State Bulldogs,Texas A&M (19),REG,,,,,,,,,,,,,
8296,2011-12-31 00:00:00,North Carolina State Wolfpack,Western Carolina,RBC Center,82,55,North Carolina State Wolfpack,Western Carolina,REG,RBC Center,,,,,,,,,,,,
7793,2012-01-16 00:00:00,Mississippi Valley State Delta Devils,Southern,Harrison HPER Complex,77,56,Mississippi Valley State Delta Devils,Southern,REG,Harrison HPER Complex,,,,,,,,,,,,
8791,2011-11-26 00:00:00,North Carolina-Asheville Bulldogs,Utah,,87,65,North Carolina-Asheville Bulldogs,Utah,REG,,,,,,,,,,,,,
7388,2012-01-02 00:00:00,Cal State Bakersfield,New Mexico State Aggies,Rabobank Arena,72,73,New Mexico State Aggies,Cal State Bakersfield,REG,Rabobank Arena,,,,,,,,,,,,
6805,2012-01-12 00:00:00,North Texas,Western Kentucky Hilltoppers,Super Pit,84,67,North Texas,Western Kentucky Hilltoppers,REG,Super Pit,,,,,,,,,,,,
10879,2011-11-11 00:00:00,Kentucky Wildcats,Marist,Rupp Arena,108,58,Kentucky Wildcats,Marist,REG,Rupp Arena,,,,,,,,,,,,
7606,2012-01-07 00:00:00,IPFW,Western Illinois Leathernecks,Allen County War Memorial Coliseum,65,75,Western Illinois Leathernecks,IPFW,REG,Allen County War Memorial Coliseum,,,,,,,,,,,,
8566,2011-11-19 00:00:00,Kentucky Wildcats,Penn State,,85,47,Kentucky Wildcats,Penn State,REG,,,,,,,,,,,,,
6272,2011-12-10 00:00:00,Wisconsin Badgers,Nevada-Las Vegas,Kohl Center,62,51,Wisconsin Badgers,Nevada-Las Vegas,REG,Kohl Center,,,,,,,,,,,,
